2023-06-22 18:48:29 info: 🚀 ~ App ~ Env:
2023-06-22 18:48:29 info: 🚀 ~ App ~ Port:
2023-06-22 18:50:08 info: 🚀 ~ App ~ Env: development
2023-06-22 18:50:08 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:50:15 info: 🚀 ~ App ~ Env: development
2023-06-22 18:50:15 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:51:28 info: 🚀 ~ App ~ Env: development
2023-06-22 18:51:28 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:51:29 info: 🚀 ~ App ~ Env: development
2023-06-22 18:51:29 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:52:33 info: 🚀 ~ App ~ Env: development
2023-06-22 18:52:33 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:53:15 info: 🚀 ~ App ~ Env: development
2023-06-22 18:53:15 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:53:30 info: 🚀 ~ App ~ Env: development
2023-06-22 18:53:30 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:54:27 info: 🚀 ~ App ~ Env: development
2023-06-22 18:54:27 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:54:36 info: 🚀 ~ App ~ Env: development
2023-06-22 18:54:36 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:56:26 info: 🚀 ~ App ~ Env: development
2023-06-22 18:56:26 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:56:27 info: 🚀 ~ App ~ Env: development
2023-06-22 18:56:27 info: 🚀 ~ App ~ Port: 8000
2023-06-22 18:57:25 info: 🚀 ~ App ~ ENV: development
2023-06-22 18:57:25 info: 🚀 ~ App ~ PORT: 8000
2023-06-22 18:57:43 info: 🚀 ~ App ~ ENV: development
2023-06-22 18:57:43 info: 🚀 ~ App ~ PORT: 8000
2023-06-22 18:57:51 info: 🚀 ~ App ~ ENV: development
2023-06-22 18:57:51 info: 🚀 ~ App ~ PORT: 8000
2023-06-22 18:58:14 info: 🚀 ~ App ENV: development
2023-06-22 18:58:14 info: 🚀 ~ App PORT: 8000
